Code zone,Code Produit,Code année,Emission indirecte de NO2
46,5061,2019,0.0017
46,5062,2015,0.0129
46,5062,2016,0.0137
46,5062,2017,0.013999999999999999
46,5062,2018,0.0143
46,5062,2019,0.0146
46,5063,2015,0.1356
46,5063,2016,0.1416
46,5063,2017,0.1414
46,5063,2018,0.1429
46,5063,2019,0.1443
46,5064,2015,0.0015
46,5064,2016,0.0016
46,5064,2017,0.0016
46,5064,2018,0.0016
46,5064,2019,0.0017
48,5061,2015,0.4374
48,5061,2016,0.5053
48,5061,2017,0.4634
48,5061,2018,0.4914
48,5061,2019,0.4867
48,5062,2015,0.2688
48,5062,2016,0.2759
48,5062,2017,0.278
48,5062,2018,0.2801
48,5062,2019,0.2811
48,5063,2015,0.3298
48,5063,2016,0.3532
48,5063,2017,0.3602
48,5063,2018,0.3658
48,5063,2019,0.37200000000000005
48,5064,2015,0.0105
48,5064,2016,0.0107
48,5064,2017,0.0082
48,5064,2018,0.0084
48,5064,2019,0.0077
107,5061,2015,0.2174
107,5061,2016,0.2381
107,5061,2017,0.1687
107,5061,2018,0.1888
107,5061,2019,0.1985
107,5062,2015,0.0891
107,5062,2016,0.0883
107,5062,2017,0.0903
107,5062,2018,0.0891
107,5062,2019,0.0911
107,5063,2015,0.8552
107,5063,2016,0.8803
107,5063,2017,0.8932
107,5063,2018,0.8984
107,5063,2019,0.9132
107,5064,2015,0.159
107,5064,2016,0.1521
107,5064,2017,0.1571
107,5064,2018,0.1518
107,5064,2019,0.1461
98,5061,2015,0.4465
98,5061,2016,0.3693
98,5061,2017,0.5026
98,5061,2018,0.5078
98,5061,2019,0.4599
98,5062,2015,0.2108
98,5062,2016,0.2102
98,5062,2017,0.2101
98,5062,2018,0.2006
98,5062,2019,0.204
98,5063,2015,0.1188
98,5063,2016,0.1218
98,5063,2017,0.1243
98,5063,2018,0.1202
98,5063,2019,0.1229
98,5064,2015,0.1045
98,5064,2016,0.1295
98,5064,2017,0.0997
98,5064,2018,0.1168
98,5064,2019,0.1257
49,5061,2015,0.4401
49,5061,2016,0.325
49,5061,2017,0.3468
49,5061,2018,0.2732
49,5061,2019,0.315
49,5062,2015,0.3152
49,5062,2016,0.3272
49,5062,2017,0.3241
49,5062,2018,0.3469
49,5062,2019,0.3515
49,5063,2015,1.5299
49,5063,2016,1.5477
49,5063,2017,1.5042
49,5063,2018,1.4909999999999999
49,5063,2019,1.485
49,5064,2015,0.0369
49,5064,2016,0.0436
49,5064,2017,0.0378
49,5064,2018,0.040999999999999995
49,5064,2019,0.036000000000000004
54,5061,2015,1.1494
54,5061,2016,1.1651
54,5061,2017,1.1203
54,5061,2018,0.9802
54,5061,2019,1.0885
54,5062,2015,1.0984
54,5062,2016,1.0969
54,5062,2017,1.0987
54,5062,2018,1.1091
